title,size,category,indexer
The.Gambler.1974.2160p.Complete.UHD.Blu-ray.DV.HDR.HEVC.DTS-HD.MA.1.0-BLoz,80903846000,movie,nzbgeek
Bambola.1996.1080p.WEB-DL.AAC.2.0.H.264-KUCHU,4627525000,movie,nzbgeek
Ant-Man.2015.UHD.BluRay.2160p.DDP.7.1.DV.HDR.x265-hallowed,18367278000,movie,nzbgeek
Pas.de.vagues.2024.1080p.TV5M.WEB-DL.AAC2.0.H.264-playWEB,2217861000,movie,nzbgeek
Excalibur.1981.30th.Anniversary.Remaster.REMUX.1080p.Blu-ray.AVC.DTS-HD.MA.5.1-LEGi0N,25523434000,movie,nzbgeek
From.Dusk.Till.Dawn.1996.2160p.PMTP.WEB-DL.DTS-HD.MA.5.1.DV.HDR.H.265-FLUX,16953724000,movie,nzbgeek
The.Interpreter.2005.BluRay.1080p.DTS-HD.MA.5.1.VC-1.REMUX-FraMeSToR,33893751000,movie,nzbgeek
Adaptation.2002.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR,65032180000,movie,nzbgeek
Grandview.U.S.A.1984.1080p.BluRay.Remux.AVC.DTS-HD.MA5.1-HDmux,21801140000,movie,nzbgeek
The.Visit.2015.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HEVC.HYBRID.REMUX-FraMeSToR,86848979000,movie,nzbgeek
Fandango.1985.1080p.Blu-ray.Remux.AVC.DTS-HD.MA.5.1-SiCFoI,23512777000,movie,nzbgeek
Honey.Dont.2025.1080p.BluRay.DDP.5.1.x264-j3rico,14115467000,movie,nzbgeek
The.Torch.1950.imdb-tt0041971.DVDRip.480p.MP3.2.0-DivX,1301611000,movie,nzbgeek
Superhero.Movie.2008.Extended.Cut.BluRay.1080i.DTS-HD.MA.5.1.AVC.HYBRID.REMUX-FraMeSToR,24378717000,movie,nzbgeek
The.Train.Robbers.1973.BluRay.1080p.FLAC.1.0.AVC.REMUX-FraMeSToR,21872041000,movie,nzbgeek
Lightness.2016.1080p.AMZN.WEB-DL.DDP2.0.H.264-Kitsune,1434168000,movie,nzbgeek
Curling.2010.CAN.NTSC.DVD9.DD.2.0-VaLTiEL,10128926000,movie,nzbgeek
Doraemon.Nobitas.Earth.Symphony.2024.1080p.NF.WEB-DL.JPN.AAC2.0.H.264.MSubs-ToonsHub,5482312000,movie,nzbgeek
Dead.Silence.2007.Theatrical.Cut.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HEVC.REMUX-FraMeSToR,73455466000,movie,nzbgeek
Dhamaka.2021.1080p.Netflix.WEB-DL.AVC.DDP.5.1.Atmos-DBTV,5571325000,movie,nzbgeek
The.Secret.Agent.2025.2160p.UHD.Theater.SDR.REMUX.HEVC.PCM.5.1 YG,81593342000,movie,nzbgeek
A.Nightmare.on.Elm.Street.1984.Uncut.REPACK.Hybrid.2160p.UHD.Remux.DV.HDR.HEVC.ATMOS.FLAC1.0-CiNEPHiLES,42030938000,movie,nzbgeek
The.Lost.City.2022.BluRay.1080p.DDP.Atmos.5.1.x264-hallowed,9800288000,movie,nzbgeek
Heretic.2024.REPACK.UHD.BluRay.2160p.DDP.Atmos.5.1.DV.HDR10.x265-hallowed,16780386000,movie,nzbgeek
Miss.Marple.A.Caribbean.Mystery.1989.1080p.BluRay.x264-YELLOWBiRD.[NO.RAR],8972946000,movie,nzbgeek
Teenage.Mutant.Ninja.Turtles.Out.of.the.Shadows.2016.1080p.BDRip.DDP7.1.x265-Vialle,8134609000,movie,nzbgeek
Spy.Game.2001.1080p.PCOK.WEB-DL.DDP.5.1.H.264-PiRaTeS,8936200000,movie,nzbgeek
The.Monkey.2025.1080p.BDRip.DDP5.1.x265-Vialle,6962919000,movie,nzbgeek
Jackals.2017.USA.NTSC.DVD9.DD.5.1-VaLTiEL,8762903000,movie,nzbgeek
The.Rule.of.Jenny.Pen.2025.1080p.BDRip.DDP5.1.x265-Vialle,6965718000,movie,nzbgeek
The.Naked.Gun.2025.1080p.BDRip.DDP7.1.x265-Vialle,5843982000,movie,nzbgeek
The.Hunger.Games.Mockingjay.Part.2.2015.1080p.Complete.Bluray.3D-NAdagRP,56607059000,movie,nzbgeek
Wicked.2024.1080p.BDRip.DDP7.1.x265-Vialle,12786865000,movie,nzbgeek
The.Phoenician.Scheme.2025.1080p.BDRip.DDP7.1.x265-Vialle,7207673000,movie,nzbgeek
The.Killer.2024.1080p.BDRip.DDP5.1.x265-Vialle,8896524000,movie,nzbgeek
The.Astronaut.2025.1080p.BDRip.DDP5.1.x265-Vialle,3773738000,movie,nzbgeek
The.Assesment.2025.1080p.BDRip.DDP5.1.x265-Vialle,9623680000,movie,nzbgeek
Warfare.2025.1080p.BDRip.DDP7.1.x265-Vialle,6246873000,movie,nzbgeek
The.Thicket.2024.1080p.BDRip.DDP5.1.x265-Vialle,6687931000,movie,nzbgeek
Star.Trek.Section.31.2025.1080p.BDRip.DDP7.1.x265-Vialle,6592957000,movie,nzbgeek
Wolf.Man.2025.1080p.BDRip.DDP7.1.x265-Vialle,7125286000,movie,nzbgeek
Skyscraper.2018.1080p.ITV.WEB-DL.AAC.2.0.H.264-PiRaTeS,4627407000,movie,nzbgeek
Teenage.Mutant.Ninja.Turtles.1990.1080p.BDRip.DDP5.1.x265-Vialle,6484338000,movie,nzbgeek
Tron.Ares.2025.1080p.BDRip.DDP7.1.x265-Vialle,9207432000,movie,nzbgeek
Wicked.For.Good.2025.1080p.BDRip.DDP7.1.x265-Vialle,11055581000,movie,nzbgeek
Snow.White.2025.1080p.BDRip.DDP7.1.x265-Vialle,8315939000,movie,nzbgeek
The.Alto.Knights.2025.1080p.BDRip.DDP7.1.x265-Vialle,8269400000,movie,nzbgeek
Superman.2025.1080p.BDRip.DDP7.1.x265-Vialle,10451400000,movie,nzbgeek
One.Battle.After.Another.2025.1080p.BDRip.DDP7.1.x265-Vialle,13157197000,movie,nzbgeek
Scary.Movie.4.2006.1080p.BDRip.DDP5.1.x265-Vialle,5155478000,movie,nzbgeek
Teenage.Mutant.Ninja.Turtles.II.1991.1080p.BDRip.DDP5.1.x265-Vialle,6139982000,movie,nzbgeek
Scary.Movie.2.2001.1080p.BDRip.DDP5.1.x265-Vialle,4900323000,movie,nzbgeek
Scary.Movie.5.2013.1080p.BDRip.DDP5.1.x265-Vialle,5356040000,movie,nzbgeek
Smokey.and.the.Bandit.II.1980.1080p.YT.WEB-DL.AAC.2.0.H.264-PiRaTeS,7397859000,movie,nzbgeek
Mickey.17.2025.1080p.BDRip.DDP7.1.x265-Vialle,10389895000,movie,nzbgeek
Scary.Movie.3.2003.1080p.BDRip.DDP5.1.x265-Vialle,5128801000,movie,nzbgeek
Teenage.Mutant.Ninja.Turtles.III.1993.1080p.BDRip.DDP5.1.x265-Vialle,6679303000,movie,nzbgeek
buying.sex.2013.720p.web.h264-jff,5729002000,movie,nzbgeek
Things.Will.Be.Different.2024.1080p.BDRip.DDP5.1.x265-Vialle,6700903000,movie,nzbgeek
The.Smashing.Machine.2025.1080p.BDRip.DDP7.1.x265-Vialle,12890547000,movie,nzbgeek
Thunderbolts.2025.1080p.BDRip.DDP7.1.x265-Vialle,9105070000,movie,nzbgeek
Scary.Movie.2000.1080p.BDRip.DDP5.1.x265-Vialle,6588330000,movie,nzbgeek
Caught.Stealing.2025.1080p.WEB-DL.DUAL.DDP5.1.H.264-TURG,8470024000,movie,nzbgeek
Birth.2004.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HEVC.REMUX-FraMeSToR,78227266000,movie,nzbgeek
Novocaine.2025.1080p.BDRip.DDP7.1.x265-Vialle,8016026000,movie,nzbgeek
Xeno.2025.1080p.BDRip.DDP5.1.x265-Vialle,5405245000,movie,nzbgeek
Running.with.the.Devil.2019.720p.PLEX.WEB-DL.AAC.2.0.H.264-PiRaTeS,1408876000,movie,nzbgeek
Honey.Dont.2025.1080p.WEB-DL.DUAL.DDP5.1.H.264-TURG,6521521000,movie,nzbgeek
The.Substance.2024.1080p.BluRay.DD+5.1.x264-PTer,20928231000,movie,nzbgeek
Heretic.2024.REPACK.UHD.BluRay.2160p.DDP.Atmos.5.1.DV.HDR10+.x265-hallowed,19753395000,movie,nzbgeek
Birth.2004.1080p.Criterion.Collection.Blu-ray.AVC.DTS-HD.MA.5.1-DIYUBits,60411054000,movie,nzbgeek
The.Russian.Bride.2019.1080p.AMZN.WEB-DL.DDP5.1.H.264-GPRS,9337810000,movie,nzbgeek
Birth.2004.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,29866177000,movie,nzbgeek
The.Day.the.Earth.Stood.Still.2008.REPACK.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,31730744000,movie,nzbgeek
Now.You.See.Me.Now.You.Dont.2025.2160p.iT.WEB-DL.HDR10+.Atmos.DDP5.1-UBWEB,15659000000,movie,nzbgeek
Springsteen.Deliver.Me.From.Nowhere.2025.1080p.10bit.BluRay.8CH.X265.HEVC-PSA,2253291000,movie,nzbgeek
Avengers.Endgame.2019.1080p.Bluray.MULTi.french.english.av1-C2H7NO3S,15998324000,movie,nzbgeek
jigsaw.2017.720p.web.h264-jff,6561801000,movie,nzbgeek
Embattled.2020.USA.NTSC.DVD9.DD.5.1-VaLTiEL,10291954000,movie,nzbgeek
Destined.At.Christmas.2022.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb,6117407000,movie,nzbgeek
Crust.2024.1080p.AMZN.WEB-DL.DD.2.0.H.264-playWEB,4961691000,movie,nzbgeek
ghosted.2024.1080p.webrip.x264.aac-yts.bz,2803104000,movie,nzbgeek
The.Wall.2012.MULTi.VFi.1080p.HDLight.AC3.2.0.H264-LiHDL,3162476000,movie,nzbgeek
The.Rip.2026.MULTi.VF2.1080p.WEB.H265-TFA,6068699000,movie,nzbgeek
The.Rip.2026.MULTi.AD.1080p.NF.WEB.DV.HDR.H265-THESYNDiCATE,3061901000,movie,nzbgeek
Initial.D-The.Movie.2005.Multi.VFF.1080p.HDlight.AAC.x264,2721139000,movie,nzbgeek
Dalloway.2025.FRENCH.1080p.WEBrip.10.bits.EAC3.5.1.x265-TyHD,1881094000,movie,nzbgeek
Chloe 1996 French 1080p WEBRiP x265-BRM,3993637000,movie,nzbgeek
The.Rock.1996.BluRay.1080p.DDP.5.1.x264-hallowed,11491828000,movie,nzbgeek
Bring.It.On-Cheer.or.Die.[2022].br.remux.avc-d3g,21818550000,movie,nzbgeek
The.November.Man.2014.1080p.AMZN.WEB-DL.DDP.5.1.H.264-PiRaTeS,24654579000,movie,nzbgeek
Tarot.2024.2160p.MA.WEB-DL.DTS-HD.MA.5.1.H.265-FLUX,19227695000,movie,nzbgeek
The.Perfect.Storm.2000.1080p.PCOK.WEB-DL.DDP.5.1.H.264-PiRaTeS,9380604000,movie,nzbgeek
The.Proposal.2009.1080p.iP.WEB-DL.AAC.2.0.H.264-PiRaTeS,6970241000,movie,nzbgeek
The.Rebound.2009.1080p.FDNG.WEB-DL.DDP.5.1.H.264-PiRaTeS,3487938000,movie,nzbgeek
the.november.man.2014.web.h264-rbb,991618000,movie,nzbgeek
Patriots.Day.2016.BluRay.1080p.DTS-X.7.1.x264.dxva-FraMeSToR,16752865000,movie,nzbgeek
One.Battle.After.Another.2025.1080p.WEB-DL.H.264.AAC-PTerWEB,1811180000,movie,nzbgeek
Buying.Sex.2013.1080p.AMZN.WEB-DL.DD+5.1.H.264-playWEB,6746147000,movie,nzbgeek
Kingdom.of.the.Planet.of.the.Apes.2024.1080p.BluRay.REMUX.DD5.1.AVC-d3g,28995463000,movie,nzbgeek
Jigsaw.2017.1080p.AMZN.WEB-DL.DDP5.1.H.264-Kitsune,7717498000,movie,nzbgeek
Would.You.Rather.2012.Bluray.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,20649285000,movie,nzbgeek
The.November.Man.2014.720p.TUBI.WEB-DL.AAC.2.0.H.264-PiRaTeS,2571798000,movie,nzbgeek
The.November.Man.2014.720p.PLEX.WEB-DL.AAC.2.0.H.264-PiRaTeS,1491718000,movie,nzbgeek
In.die.Sonne.schauen.2025.GERMAN.COMPLETE.BLURAY-PtBM,57506013000,movie,nzbgeek
End.of.Watch.2012.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HDR10P.HEVC.HYBRID.REMUX-FraMeSToR,89656005000,movie,nzbgeek
Springsteen.Deliver.Me.from.Nowhere.2025.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HDR10P.HEVC.HYBRID.REMUX-FraMeSToR,49478631000,movie,nzbgeek
Bring.It.On-Cheer.or.Die.2022.1080p.BluRay.REMUX.Dts-HDMa5.1.AVC-d3g,25673033000,movie,nzbgeek
One.Percenter.2023.REPACK.1080p.BluRay.DDP5.1.x264-ZoroSenpai,10012450000,movie,nzbgeek
The.Pink.Panther.Strikes.Again.1976.1080p.UHD.BluRay.FLAC2.0.DoVi.HDR10.x265-PTer,25693192000,movie,nzbgeek
The.Zone.of.Interest.2023.UHD.BluRay.2160p.DDP.Atmos.5.1.HDR.x265-hallowed,18550867000,movie,nzbgeek
Crust.2024.1080p.AMZN.WEB-DL.DD+2.0.H.264-playWEB,5838892000,movie,nzbgeek
Ghosted.2024.1080p.AMZN.WEB-DL.DD+2.0.H.264-playWEB,3294401000,movie,nzbgeek
The.Rip.2026.REPACK.720p.NF.WEB-DL.DDP5.1.Atmos.H.264-FLUX,1871119000,movie,nzbgeek
The.Zone.of.Interest.2023.BluRay.1080p.DDP.5.1.x264-hallowed,8798081000,movie,nzbgeek
The.Fall.of.Otrar.1991.1080p.BluRay.FLAC1.0.x264-ZoroSenpai,35113684000,movie,nzbgeek
Apex.2021.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,23641822000,movie,nzbgeek
Heat.1995.REPACK.UHD.BluRay.2160p.DDP.5.1.HDR.x265-hallowed,25169700000,movie,nzbgeek
Scooby-Doo.and.the.Samurai.Sword.2009.1080p.BluRay.DDP.5.1.10bit.H.265-iVy,1962430000,movie,nzbgeek
Big.Top.Scooby-Doo.2012.1080p.BluRay.DDP.5.1.10bit.H.265-iVy,1678128000,movie,nzbgeek
Marquis.de.Sades.Justine.1969.UHD.BluRay.2160p.FLAC.1.0.DV.HEVC.REMUX-FraMeSToR,92751832000,movie,nzbgeek
Shark.Side.of.the.Moon.2022.1080p.DSNP.WEB-DL.DDP5.1.H.264-FLUX,2740011000,movie,nzbgeek
Locked.2025.REPACK.UHD.BluRay.2160p.DTS-HD.MA.5.1.HEVC.REMUX-FraMeSToR,59517795000,movie,nzbgeek
Black.Phone.2.2025.PROPER.German.DL.1080p.BluRay.x264-TM,8843823000,movie,nzbgeek
The.Hobbit.The.Desolation.of.Smaug.2013.Extended.2160p.UHD.BluRay.x265.10bit.DV.HDR10.TrueHD.7.1.Atmos-Panda,35092661000,movie,nzbgeek
Kill.Boksoon.2023.NF.WEB-DL.1080p.x264.Atmos.DDP.5.1-HDSWEB,7345823000,movie,nzbgeek
Iron.Man.3.2013.UHD.BluRay.REMUX.2160p.HEVC.DTS-HD.MA.7.1-PTer,79416721000,movie,nzbgeek
Lupin.III.The.Castle.of.Cagliostro.1979.REPACK.UHD.BluRay.2160p.DTS-HD.MA.7.1.HEVC.REMUX-FraMeSToR,65968999000,movie,nzbgeek
8.2025.1080p.HMAX.WEB-DL.DD+5.1.H.264-playWEB,6023965000,movie,nzbgeek
Day.Shift.2022.1080p.NF.WEB-DL.DDP.5.1.Atmos.H.264-CHDWEB,7685673000,movie,nzbgeek
Bill.and.Teds.Bogus.Journey.1991.PROPER.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,33077922000,movie,nzbgeek
District.9.2009.2160p.UHD.BluRay.Hybrid.x265.DV.HDR10.DDP.Atmos.7.1.English-H4XO,24540286000,movie,nzbgeek
The.Rip.[2026].2160p.4K.WEB.5.1-LAMA,5812204000,movie,nzbgeek
Two.Stage.Sisters.1964.1080p.UHD.BluRay.FLAC1.0.DoVi.HDR.x265-PTer,19168807000,movie,nzbgeek
Best.of.the.Best.1992.1080p.USA.Blu-ray.AVC.DTS-HD.MA.2.0,58060847000,movie,nzbgeek
Scooby-Doo.Legend.of.the.Phantosaur.2011.1080p.BluRay.DDP.5.1.10bit.H.265-iVy,1883319000,movie,nzbgeek
Krrish.2006.BluRay.Remux.1080p.AVC.DTS-HD.MA5.1-52pt,57808941000,movie,nzbgeek
Happy.Halloween.Scooby-Doo.2020.1080p.WEBRip.DDP.5.1.10bit.H.265-iVy,1844664000,movie,nzbgeek
Crouching.Tiger.Hidden.Dragon.2000.2160p.UHD.BluRay.TrueHD.Atmos.7.1.DoVi.HDR.x265-PTer,49166861000,movie,nzbgeek
Malcolm.X.1992.PROPER.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HEVC.HYBRID.REMUX-FraMeSToR,103004333000,movie,nzbgeek
bleeding.2024.bdrip.h264-rbb,814484000,movie,nzbgeek
bleeding.2024.bluray.1080p.ddp.5.1.x264-hallowed,8209608000,movie,nzbgeek
Love.in.the.Big.City.2024.KOR.BluRay.1080p.REMUX.AVC.DTS-HD.MA.5.1-UBits,36378696000,movie,nzbgeek
The.Name.of.the.Rose.1986.720p.TUBI.WEB-DL.AAC.2.0.H.264-PiRaTeS,3113371000,movie,nzbgeek
The.Name.of.the.Rose.1986.720p.PLEX.WEB-DL.AAC.2.0.H.264-PiRaTeS,2954630000,movie,nzbgeek
The.Name.of.the.Rose.1986.720p.PTV.WEB-DL.AAC.2.0.H.264-PiRaTeS,2604259000,movie,nzbgeek
Stone.Cold.Fox.2025.1080p.NF.WEB-DL.DDP5.1.H.264-HDSWEB,6482671000,movie,nzbgeek
The.Name.of.the.Rose.1986.1080p.CW.WEB-DL.AAC.2.0.H.264-PiRaTeS,3599197000,movie,nzbgeek
Head.of.the.Family.1996.1080p.AMZN.WEB-DL.DDP2.0.H.264-BFM,9753705000,movie,nzbgeek
The.Name.of.the.Rose.1986.1080p.FDNG.WEB-DL.DDP.5.1.H.264-PiRaTeS,8324931000,movie,nzbgeek
Oceans.Twelve.2004.1080p.BluRay.REMUX.VC-1.DD5.1-EPSiLON,17962203000,movie,nzbgeek
The.Name.of.the.Rose.1986.1080p.AMZN.WEB-DL.DDP.2.0.H.264-PiRaTeS,11818053000,movie,nzbgeek
Dizzy.Dishes.1930.1080p.BluRay.REMUX.AVC.FLAC.1.0-EPSiLON,1456037000,movie,nzbgeek
The.Name.of.the.Rose.1986.1080p.RTE.WEB-DL.AAC.2.0.H.264-PiRaTeS,6044815000,movie,nzbgeek
The.Rip.2026.2160p.NF.WEB-DL.DDP.5.1.Atmos.DV.H.265-CHDWEB,16667331000,movie,nzbgeek
The.Ballad.of.Wallis.Island.2025.UHD.BluRay.2160p.DDP.5.1.HDR.x265-hallowed,14618538000,movie,nzbgeek
Love.in.the.Big.City.2024.1080p.KOR.Blu-ray.AVC.DTS-HD.MA.5.1-DIYUBits,50936033000,movie,nzbgeek
Bleeding.2025.BluRay.1080p.DDP.5.1.x264-hallowed,8209781000,movie,nzbgeek
If.I.Had.Legs.Id.Kick.You.2025.BluRay.1080p.DDP.Atmos.5.1.x264-hallowed,9946403000,movie,nzbgeek
h-town.2023.720p.web.h264-jff,2880616000,movie,nzbgeek
Swinging.Blossom.2017.1080p.WEB-DL.H.264.AAC-PTerWEB,3720560000,movie,nzbgeek
Springsteen.Deliver.Me.from.Nowhere.2025.BluRay.1080p.TrueHD.Atmos.7.1.AVC.HYBRID.REMUX-FraMeSToR,31491474000,movie,nzbgeek
Finding.Nicole.2025.1080p.AMZN.WEB-DL.DD.2.0.H.264-playWEB,5171804000,movie,nzbgeek
h-town.2023.web.h264-rbb,836647000,movie,nzbgeek
The.French.Dispatch.2021.PROPER.BluRay.1080p.DTS-HD.MA.5.1.AVC.HYBRID.REMUX-FraMeSToR,31196108000,movie,nzbgeek
Oceans.Thirteen.2007.1080p.BluRay.REMUX.VC-1.DD5.1-EPSiLON,18280212000,movie,nzbgeek
h-town.2023.1080p.pcok.web-dl.aac.2.0.264-onlyweb,5735325000,movie,nzbgeek
Jane.Eyre.1996.720p.BluRay.DD.2.0.x264-playHD,9092982000,movie,nzbgeek
Deepwater.Horizon.2016.PROPER.BluRay.1080p.TrueHD.Atmos.7.1.AVC.HYBRID.REMUX-FraMeSToR,30246344000,movie,nzbgeek
Altered.States.1980.2160p.Criterion.Collection.USA.UHD.Blu-ray.DV.HDR.HEVC.DTS-HD.MA.5.1-LuckDIY,120983981000,movie,nzbgeek
All.The.Devils.Are.Here.[2025].2160p.4K.WEB.5.1-LAMA,4570606000,movie,nzbgeek
A.Hero.Never.Dies.1998.CHN.Bluray.1080p.x264.2Audios.DTS-HD.MA.5.1-BtsHD,15470227000,movie,nzbgeek
The.Kingdom.2007.1080p.PCOK.WEB-DL.DDP.5.1.H.264-PiRaTeS,4750600000,movie,nzbgeek
Gundik.2025.1080p.Hami.WEB-DL.H.264.AAC-UBWEB,8342293000,movie,nzbgeek
Life.Gamble.1978.WEB-DL.4K.H.265.AAC-PTerWEB,15294606000,movie,nzbgeek
A.Hero.Never.Dies.1998.CHN.Bluray.720p.x264.2Audios.AC3-BtsHD,4632851000,movie,nzbgeek
The.Rip.2026.REPACK.1080p.NF.WEB-DL.DDP5.1.Atmos.H.264-FLUX,5851066000,movie,nzbgeek
